objectid,proyecto,estado,mensaje
7,"Guardianes de la Sierra: Convivencia, Territorio Seguro y Desarrollo Integral",ERROR,"✖ Error en proyecto 7 - Guardianes de la Sierra: Convivencia, Territorio Seguro y Desarrollo Integral: Error general: ERROR 002869: Output file memory\Proyectos_Inversion already exists.
Failed to execute (CreateFeatureclass).

Traceback (most recent call last):
  File ""C:\Users\Sebastian\Documents\GitHub\SimuladorProyectosInversion\SimuladorGP.py"", line 62, in script_tool
    arcpy.CreateFeatureclass_management(""memory"", ""Proyectos_Inversion"",
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 5764, in CreateFeatureclass
    raise e
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 5741, in CreateFeatureclass
    gp.CreateFeatureclass_management(
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\geoprocessing\_base.py"", line 533, in <lambda>
    return lambda *args: val(*gp_fixargs(args, True))
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
arcgisscripting.ExecuteError: ERROR 002869: Output file memory\Proyectos_Inversion already exists.
Failed to execute (CreateFeatureclass).


Failed to execute (CICLO1).
"
1,Mujeres Impulsando Futuro: Liderazgo y Emprendimiento con Equidad,ERROR,"✖ Error en proyecto 1 - Mujeres Impulsando Futuro: Liderazgo y Emprendimiento con Equidad: Error general: ERROR 160326: The table already exists.
Failed to execute (CreateFeatureclass).

Traceback (most recent call last):
  File ""C:\Users\Sebastian\Documents\GitHub\SimuladorProyectosInversion\SimuladorGP.py"", line 62, in script_tool
    arcpy.CreateFeatureclass_management(""memory"", ""Proyectos_Inversion"",
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 5764, in CreateFeatureclass
    raise e
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 5741, in CreateFeatureclass
    gp.CreateFeatureclass_management(
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\geoprocessing\_base.py"", line 533, in <lambda>
    return lambda *args: val(*gp_fixargs(args, True))
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
arcgisscripting.ExecuteError: ERROR 160326: The table already exists.
Failed to execute (CreateFeatureclass).


Failed to execute (CICLO1).
"
8,"Guardianes de la Sierra: Convivencia, Territorio Seguro y Desarrollo Integral",ERROR,"✖ Error en proyecto 8 - Guardianes de la Sierra: Convivencia, Territorio Seguro y Desarrollo Integral: Error general: ERROR 002869: Output file memory\Proyectos_Inversion already exists.
Failed to execute (CreateFeatureclass).

Traceback (most recent call last):
  File ""C:\Users\Sebastian\Documents\GitHub\SimuladorProyectosInversion\SimuladorGP.py"", line 62, in script_tool
    arcpy.CreateFeatureclass_management(""memory"", ""Proyectos_Inversion"",
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 5764, in CreateFeatureclass
    raise e
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 5741, in CreateFeatureclass
    gp.CreateFeatureclass_management(
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\geoprocessing\_base.py"", line 533, in <lambda>
    return lambda *args: val(*gp_fixargs(args, True))
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
arcgisscripting.ExecuteError: ERROR 002869: Output file memory\Proyectos_Inversion already exists.
Failed to execute (CreateFeatureclass).


Failed to execute (CICLO1).
"
2,Mujeres Impulsando Futuro: Liderazgo y Emprendimiento con Equidad,ERROR,"✖ Error en proyecto 2 - Mujeres Impulsando Futuro: Liderazgo y Emprendimiento con Equidad: Error general: ERROR 160326: The table already exists.
Failed to execute (CreateFeatureclass).

Traceback (most recent call last):
  File ""C:\Users\Sebastian\Documents\GitHub\SimuladorProyectosInversion\SimuladorGP.py"", line 62, in script_tool
    arcpy.CreateFeatureclass_management(""memory"", ""Proyectos_Inversion"",
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 5764, in CreateFeatureclass
    raise e
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 5741, in CreateFeatureclass
    gp.CreateFeatureclass_management(
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\geoprocessing\_base.py"", line 533, in <lambda>
    return lambda *args: val(*gp_fixargs(args, True))
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
arcgisscripting.ExecuteError: ERROR 160326: The table already exists.
Failed to execute (CreateFeatureclass).


Failed to execute (CICLO1).
"
9,"Guardianes de la Sierra: Convivencia, Territorio Seguro y Desarrollo Integral",ERROR,"✖ Error en proyecto 9 - Guardianes de la Sierra: Convivencia, Territorio Seguro y Desarrollo Integral: Error general: ERROR 160326: The table already exists.
Failed to execute (CreateFeatureclass).

Traceback (most recent call last):
  File ""C:\Users\Sebastian\Documents\GitHub\SimuladorProyectosInversion\SimuladorGP.py"", line 62, in script_tool
    arcpy.CreateFeatureclass_management(""memory"", ""Proyectos_Inversion"",
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 5764, in CreateFeatureclass
    raise e
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 5741, in CreateFeatureclass
    gp.CreateFeatureclass_management(
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\geoprocessing\_base.py"", line 533, in <lambda>
    return lambda *args: val(*gp_fixargs(args, True))
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
arcgisscripting.ExecuteError: ERROR 160326: The table already exists.
Failed to execute (CreateFeatureclass).


Failed to execute (CICLO1).
"
10,Vive Saludable: Salud Integral para Comunidades Resilientes,ERROR,"✖ Error en proyecto 10 - Vive Saludable: Salud Integral para Comunidades Resilientes: Error general: Failed to execute. Parameters are not valid.
ERROR 000732: Input Table: Dataset memory/Proyectos_Inversion does not exist or is not supported
Failed to execute (AddField).

Traceback (most recent call last):
  File ""C:\Users\Sebastian\Documents\GitHub\SimuladorProyectosInversion\SimuladorGP.py"", line 71, in script_tool
    arcpy.AddField_management(fc_path, name, ftype, field_length=length or """")
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 7953, in AddField
    raise e
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 7933, in AddField
    gp.AddField_management(
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\geoprocessing\_base.py"", line 533, in <lambda>
    return lambda *args: val(*gp_fixargs(args, True))
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
arcgisscripting.ExecuteError: Failed to execute. Parameters are not valid.
ERROR 000732: Input Table: Dataset memory/Proyectos_Inversion does not exist or is not supported
Failed to execute (AddField).


Failed to execute (CICLO1).
"
19,Sistema Integrado de Video Protección Ciudadana,ERROR,"✖ Error en proyecto 19 - Sistema Integrado de Video Protección Ciudadana: Error general: ERROR 000229: Cannot open 
Failed to execute (AddField).

Traceback (most recent call last):
  File ""C:\Users\Sebastian\Documents\GitHub\SimuladorProyectosInversion\SimuladorGP.py"", line 71, in script_tool
    arcpy.AddField_management(fc_path, name, ftype, field_length=length or """")
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 7953, in AddField
    raise e
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 7933, in AddField
    gp.AddField_management(
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\geoprocessing\_base.py"", line 533, in <lambda>
    return lambda *args: val(*gp_fixargs(args, True))
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
arcgisscripting.ExecuteError: ERROR 000229: Cannot open 
Failed to execute (AddField).


Failed to execute (CICLO1).
"
21,Sistema Integrado de Video Protección Ciudadana,ERROR,"✖ Error en proyecto 21 - Sistema Integrado de Video Protección Ciudadana: Error general: Failed to execute. Parameters are not valid.
ERROR 000732: Input Table: Dataset memory/Proyectos_Inversion does not exist or is not supported
Failed to execute (AddField).

Traceback (most recent call last):
  File ""C:\Users\Sebastian\Documents\GitHub\SimuladorProyectosInversion\SimuladorGP.py"", line 71, in script_tool
    arcpy.AddField_management(fc_path, name, ftype, field_length=length or """")
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 7953, in AddField
    raise e
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\management.py"", line 7933, in AddField
    gp.AddField_management(
  File ""C:\Program Files\ArcGIS\Pro\Resources\ArcPy\arcpy\geoprocessing\_base.py"", line 533, in <lambda>
    return lambda *args: val(*gp_fixargs(args, True))
                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
arcgisscripting.ExecuteError: Failed to execute. Parameters are not valid.
ERROR 000732: Input Table: Dataset memory/Proyectos_Inversion does not exist or is not supported
Failed to execute (AddField).


Failed to execute (CICLO1).
"
11,Vive Saludable: Salud Integral para Comunidades Resilientes,ERROR,"✖ Error en proyecto 11 - Vive Saludable: Salud Integral para Comunidades Resilientes: Error general: Cannot find field 'PROYECTO'
Traceback (most recent call last):
  File ""C:\Users\Sebastian\Documents\GitHub\SimuladorProyectosInversion\SimuladorGP.py"", line 82, in script_tool
    ic.insertRow([(g[""longitude""], g[""latitude""]),
RuntimeError: Cannot find field 'PROYECTO'

Failed to execute (CICLO1).
"
20,Sistema Integrado de Video Protección Ciudadana,ERROR,"✖ Error en proyecto 20 - Sistema Integrado de Video Protección Ciudadana: Error general: Cannot find field 'PROJECT_ID'
Traceback (most recent call last):
  File ""C:\Users\Sebastian\Documents\GitHub\SimuladorProyectosInversion\SimuladorGP.py"", line 82, in script_tool
    ic.insertRow([(g[""longitude""], g[""latitude""]),
RuntimeError: Cannot find field 'PROJECT_ID'

Failed to execute (CICLO1).
"
